FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
"欸","éi","あれ、おや",zh-CN,zh-CN
"这","zhè","これ、この",zh-CN,zh-CN
"家里人","jiālirén","家族",zh-CN,zh-CN
"的","de","〜の",zh-CN,zh-CN
"照片","zhàopiàn","写真",zh-CN,zh-CN
"啊","a","〜ですよ、〜ですね、〜だなあ",zh-CN,zh-CN
"爸爸","bàba","お父さん",zh-CN,zh-CN
"银行","yínháng","銀行",zh-CN,zh-CN
"职员","zhíyuán","職員",zh-CN,zh-CN
"妈妈","māma","お母さん",zh-CN,zh-CN
"呢","ne","〜(名詞)は？",zh-CN,zh-CN
"姐姐","jiějie","",zh-CN,zh-CN
"哦","ò","ああ",zh-CN,zh-CN
"哪儿","nǎr","どこ",zh-CN,zh-CN
"人","rén","",zh-CN,zh-CN
"北京人","Běijīngrén","北京出身の人",zh-CN,zh-CN
"大学","dàxué","",zh-CN,zh-CN
"也","yě","〜も、〜もまた",zh-CN,zh-CN
"大学生","dàxuéshēng","",zh-CN,zh-CN
"都","dōu","いずれも、全部、みな",zh-CN,zh-CN
"学习","xuéxí","勉強する",zh-CN,zh-CN
"这个","zhège/zhèige","これ、この",zh-CN,zh-CN
"那","nà","あれ、あの",zh-CN,zh-CN
"那个","nàge/nèige","あれ、あの",zh-CN,zh-CN
"哪","nǎ","どれ、どの",zh-CN,zh-CN
"哪个","nǎge/něige","どれ、どの",zh-CN,zh-CN
"这些","zhèxiē/zhèixiē","これら、これらの",zh-CN,zh-CN
"那些","nàxiē/nèixiē","あれら、あれらの",zh-CN,zh-CN
"哪些","nǎxiē/něixiē","どれ、どの",zh-CN,zh-CN
"这里","zhèli","ここ",zh-CN,zh-CN
"这儿","zhèr","ここ",zh-CN,zh-CN
"那里","nàli","あそこ",zh-CN,zh-CN
"那儿","nàr","あそこ",zh-CN,zh-CN
"哪里","nǎli","どこ",zh-CN,zh-CN
"书","shū","本",zh-CN,zh-CN
"学校","xuéxiào","",zh-CN,zh-CN
"电脑","diànnǎo","コンピューター",zh-CN,zh-CN
"哥哥","gēge","お兄さん",zh-CN,zh-CN
"公司","gōngsī","会社",zh-CN,zh-CN
"中国","Zhōngguó","",zh-CN,zh-CN
"美国","Měiguó","アメリカ",zh-CN,zh-CN
"年级","niánjí","〜年生",zh-CN,zh-CN
"学生","xuésheng","",zh-CN,zh-CN
"词典","cídiǎn","辞書",zh-CN,zh-CN
